team_id,player_id,starter_probability,as_of_utc,source,season,needs_human_review,player_name,rank,source_manifest_hash,origin,qb_review_status
DEN,00-0037013,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Zach Wilson,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
DET,00-0033106,0.8762886597938144,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jared Goff,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
DET,00-0038550,0.1237113402061855,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Hendon Hooker,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
GB,00-0036264,0.8762886597938144,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jordan Love,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
GB,00-0038128,0.1237113402061855,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Malik Willis,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
HOU,00-0039163,0.8762886597938144,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,C.J. Stroud,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
HOU,00-0036898,0.1237113402061855,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Davis Mills,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
IND,00-0026158,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Joe Flacco,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
IND,00-0036879,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Sam Ehlinger,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
IND,00-0039164,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Anthony Richardson,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
JAX,00-0036972,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Mac Jones,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
JAX,00-0036971,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Trevor Lawrence,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
JAX,00-0033936,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,C.J. Beathard,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
KC,00-0033873,0.8762886597938144,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Patrick Mahomes,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
KC,00-0032950,0.1237113402061855,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Carson Wentz,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
LA,00-0026498,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Matthew Stafford,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
LA,00-0031345,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jimmy Garoppolo,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
LA,00-0039107,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Stetson Bennett,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
LAC,00-0036355,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Justin Herbert,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
LAC,00-0031800,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Taylor Heinicke,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
LAC,00-0035282,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Easton Stick,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
LV,00-0038579,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Aidan O'Connell,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
LV,00-0035289,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Gardner Minshew,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
LV,00-0038122,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Desmond Ridder,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
