coach_id,unit,residual_value,games,season,team_id,source_manifest_hash
Mike Tomlin,offense,-0.036494805286361114,18,2023,PIT,daec211cfe940ff0b8c175d9b16010e7
Ron Rivera,offense,-0.06449722048678269,17,2023,WAS,daec211cfe940ff0b8c175d9b16010e7
Matt Eberflus,offense,-0.007630340654400394,17,2023,CHI,daec211cfe940ff0b8c175d9b16010e7
Sean Payton,offense,-0.01693987854409612,17,2023,DEN,daec211cfe940ff0b8c175d9b16010e7
Brandon Staley,offense,-0.03478060919883897,14,2023,LAC,daec211cfe940ff0b8c175d9b16010e7
Bill Belichick,offense,-0.14953208201346876,17,2023,NE,daec211cfe940ff0b8c175d9b16010e7
Pete Carroll,offense,0.057566292505797687,17,2023,SEA,daec211cfe940ff0b8c175d9b16010e7
Brian Daboll,offense,-0.13254681696704945,17,2023,NYG,daec211cfe940ff0b8c175d9b16010e7
Robert Saleh,offense,-0.2104056601093308,17,2023,NYJ,daec211cfe940ff0b8c175d9b16010e7
Nick Sirianni,offense,0.08492188215248825,18,2023,PHI,daec211cfe940ff0b8c175d9b16010e7
Sean McDermott,offense,0.15614733967925584,19,2023,BUF,daec211cfe940ff0b8c175d9b16010e7
Zac Taylor,offense,0.031003062008641873,17,2023,CIN,daec211cfe940ff0b8c175d9b16010e7
Dan Campbell,offense,0.12020860025147997,20,2023,DET,daec211cfe940ff0b8c175d9b16010e7
DeMeco Ryans,offense,0.014900907593438435,19,2023,HOU,daec211cfe940ff0b8c175d9b16010e7
Doug Pederson,offense,-0.029171700071574498,17,2023,JAX,daec211cfe940ff0b8c175d9b16010e7
Todd Bowles,offense,0.04027061458444347,19,2023,TB,daec211cfe940ff0b8c175d9b16010e7
Mike Vrabel,offense,-0.006038604985748784,17,2023,TEN,daec211cfe940ff0b8c175d9b16010e7
Jonathan Gannon,offense,-0.030136223372778832,17,2023,ARI,daec211cfe940ff0b8c175d9b16010e7
Mike McCarthy,offense,0.14366323972955872,18,2023,DAL,daec211cfe940ff0b8c175d9b16010e7
Frank Reich,offense,-0.13550970311682708,11,2023,CAR,daec211cfe940ff0b8c175d9b16010e7
Kyle Shanahan,offense,0.20672499034428787,20,2023,SF,daec211cfe940ff0b8c175d9b16010e7
Matt LaFleur,offense,0.11881464183830825,19,2023,GB,daec211cfe940ff0b8c175d9b16010e7
Mike McDaniel,offense,0.12159016316424395,18,2023,MIA,daec211cfe940ff0b8c175d9b16010e7
Josh McDaniels,offense,-0.05589688699887923,8,2023,LV,daec211cfe940ff0b8c175d9b16010e7
